Tittle,Author,Narrated,Length,Release,Language
Fastrope,"L.T. Ryan, Fiona Ryan",Marnye Young,6 hrs and 35 mins,07-10-23,English
The Obstacle Is the Way,Ryan Holiday,Ryan Holiday,4 hrs and 38 mins,02-14-23,English
The Witch Collector,Charissa Weaks,"Meg Sylvan, Tim Campbell",13 hrs and 16 mins,07-11-23,English
The Rain King,Selena,"Amanda L'Orien, Gregory Salinas",12 hrs and 58 mins,06-14-23,English
Even If It Hurts,Sam Mariano,"Theo Sinclair, Allie Shae",12 hrs and 33 mins,06-11-23,English
The Awe of God,John Bevere,John Bevere,7 hrs and 28 mins,02-21-23,English
Corrupt Vow,Eva Ashwood,"Cassandra Medcalf, Daniel James Lewis",12 hrs and 52 mins,06-10-23,English
The Menopause Reset,Dr. Mindy Pelz,Dr. Mindy Pelz,4 hrs and 52 mins,06-20-23,English
Kairos,Jenny Erpenbeck,Lisa Flanagan,10 hrs and 25 mins,06-12-23,English
Whiskey Poison,Nicole Fox,"Hayden Hall, Walker Williams",15 hrs and 2 mins,06-12-23,English
Beyond the Thistles,Samantha Young,"Shane East, Stella Hunter",10 hrs and 12 mins,06-16-23,English
Goblin Apocalypse,Michael Dalton,"Giancarlo Herrera, Hannah Schooner",6 hrs and 27 mins,06-06-23,English
Diablo: Book of Lorath,Matthew J. Kirby,Ralph Ineson,3 hrs and 43 mins,06-12-23,English
The Leap to Leader,Adam Bryant,Michael Butler Murray,5 hrs and 21 mins,07-11-23,English
Long Time No Sea,Portia MacIntosh,Karen Cass,8 hrs and 19 mins,07-06-23,English
Reckless,Elsie Silver,"Joe Arden, Savannah Peachwood",9 hrs and 58 mins,06-10-23,English
I'll Just Date Myself,Lani Lynn Vale,"Connor Crais, Rose Dioro",5 hrs and 54 mins,06-23-23,English
Savior Complex,Kelly Fox,Declan Winters,8 hrs and 20 mins,07-10-23,English
All the Demons Are Here,Jake Tapper,"Meg Price, Rob Shapiro",11 hrs and 10 mins,07-11-23,English
Deliver Me from Evil,Natasha Knight,"Stefanie Kay, James Cassidy",8 hrs and 49 mins,07-11-23,English
The Last Dance,Mark Billingham,David Threlfall,9 hrs and 11 mins,07-04-23,English
Taken Girls,Carolyn Arnold,Lisa Rost-Welling,9 hrs and 1 min,06-20-23,English
The Theory and Practice of Group Psychotherapy (Sixth Edition),"Irvin D. Yalom, Molyn Leszcz",Tom Parks,30 hrs and 8 mins,06-27-23,English
Forbidden Hearts,Corinne Michaels,"Zachary Webber, Desiree Ketchum",9 hrs and 23 mins,06-10-23,English
Horns of the Goddess,Dolores Cannon,"Moe Egan, Pam Tierney",13 hrs and 55 mins,07-11-23,English
Hermit's Peak,Michael McGarrity,George Guidall,8 hrs and 3 mins,07-11-23,English
Property of a Rich Nigga,Jessica N. Watkins,"Nicole Small, Benjamin Charles",9 hrs and 38 mins,06-23-23,English
How I Stole the Princess’s White Knight and Turned Him to Villainy: The Complete Works,AJ Sherwood,Kirk Griffin,15 hrs and 2 mins,07-03-23,English
Rogue Force,Jack Mars,Phillip Sacramento,9 hrs and 1 min,01-31-23,English
The Things We Make,Bill Hammack,Jonathan Todd Ross,7 hrs and 43 mins,03-21-23,English
Breaking Together,Jem Bendell,Matthew Slater,18 hrs and 13 mins,06-21-23,English
"The False Hero, Volume 7",Michael Plymel,Mason Born,11 hrs and 35 mins,06-13-23,English
