Tittle,Author,Narrated,Length,Release,Language
Homecoming,Kate Morton,Claire Foy,17 hrs and 38 mins,04-04-23,English
How a Realist Hero Rebuilt the Kingdom: Volume 3,Dojyomaru,BJ Harrison,8 hrs and 44 mins,07-11-23,English
That Time I Got Drunk and Saved a Demon,Kimberly Lemming,Hazel Addison,7 hrs and 25 mins,05-25-23,English
Smash the System,System Lad,"Jessica Threet, Christopher Boucher",16 hrs and 36 mins,07-11-23,English
Puppy Love,Misha Bell,"Erin Mallon, Teddy Hamilton",5 hrs and 33 mins,07-10-23,English
Paris,Paris Hilton,Paris Hilton,8 hrs and 22 mins,03-14-23,English
No Ordinary Assignment,Jane Ferguson,Jane Ferguson,10 hrs and 50 mins,07-11-23,English
Random Acts of Medicine,"Anupam B. Jena, Christopher Worsham","Anupam B. Jena, Christopher Worsham",9 hrs and 5 mins,07-11-23,English
The One That Got Away,JD Kirk,Cathleen McCarron,12 hrs and 13 mins,05-25-23,English
The Wolf Witch,Chandelle LaVaun,Vanessa Moyen,13 hrs and 54 mins,07-12-23,English
The First Ladies,"Marie Benedict, Victoria Christopher Murray","Robin Miles, Tavia Gilbert",14 hrs and 33 mins,06-27-23,English
The Alchemist,Paulo Coelho,Jeremy Irons,4 hrs,12-26-04,English
The Unbearable Lightness of Being,"Milan Kundera, Michael Henry Heim - translator",Richmond Hoxie,9 hrs and 37 mins,05-15-12,English
The Millionaire Next Door,"Thomas J. Stanley Ph.D., William D. Danko Ph.D.",Cotter Smith,8 hrs and 16 mins,10-27-00,English
Shoe Dog,Phil Knight,"Norbert Leo Butz, Phil Knight - introduction",13 hrs and 21 mins,04-26-16,English
The Blade Itself,Joe Abercrombie,Steven Pacey,22 hrs and 15 mins,09-08-15,English
Deep Work,Cal Newport,Jeff Bottoms,7 hrs and 44 mins,01-05-16,English
Forget Me Not,Julie Soto,"Callie Dalton, Teddy Hamilton",9 hrs and 15 mins,07-11-23,English
"Little, Crazy Children",James Renner,James Renner,9 hrs and 12 mins,06-27-23,English
The True Love Experiment,Christina Lauren,"Jonathan Cole, Cindy Kay",10 hrs and 52 mins,05-16-23,English
The Wind Knows My Name,"Isabel Allende, Frances Riddle - translator","Edoardo Ballerini, Maria Liatis",7 hrs and 59 mins,06-06-23,English
The Great Reset,Alex Jones,Joe Kredjetti,7 hrs and 30 mins,10-12-22,English
King: A Life,Jonathan Eig,Dion Graham,20 hrs and 45 mins,05-16-23,English
Amanecida,"Dennis Vanderkerken, Dakota Krout",John Pirhalla,14 hrs and 28 mins,07-12-23,English
The Sun and Its Shade,Piper CJ,Natalie Naudus,16 hrs,06-27-23,English
The Deborah Mantle,Christy Johnston,Belinda Lams,7 hrs and 46 mins,05-17-23,English
The Ritual,Shantel Tessier,"Wen Ross, Zara Eden",16 hrs and 46 mins,05-09-23,English
Born a Crime,Trevor Noah,Trevor Noah,8 hrs and 44 mins,11-15-16,English
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Stephen Fry,5 hrs and 51 mins,04-28-05,English
To Kill a Mockingbird,Harper Lee,Sissy Spacek,12 hrs and 17 mins,07-08-14,English
Napoleon,Andrew Roberts,John Lee,32 hrs and 56 mins,11-04-14,English
The Secret,Rhonda Byrne,Rhonda Byrne,4 hrs and 24 mins,11-17-06,English
Battlefield Reclaimer,David North,"John Pirhalla, Stephanie Nemeth-Parker",20 hrs and 4 mins,05-15-23,English
Someone Else's Shoes,Jojo Moyes,Daisy Ridley,12 hrs and 21 mins,02-07-23,English
Two Weeks Notice,Amy Porterfield,Amy Porterfield,7 hrs and 38 mins,02-21-23,English
The Senator's Wife,Liv Constantine,Kirsten Potter,9 hrs and 7 mins,05-23-23,English
Drowning,T. J. Newman,"Steven Weber, Laura Benanti",7 hrs and 43 mins,05-30-23,English
Little Monsters,Adrienne Brodeur,"Jason Culp, Matt Pittenger, Cassandra Campbell, Joy Osmanski, Allyson Ryan, Sura Siu",11 hrs and 17 mins,06-27-23,English
Birnam Wood,Eleanor Catton,Saskia Maarleveld,12 hrs and 47 mins,03-07-23,English
The E-Myth Revisited,Michael E. Gerber,Michael E. Gerber,8 hrs and 5 mins,12-26-04,English
Extreme Ownership,"Jocko Willink, Leif Babin","Jocko Willink, Leif Babin",9 hrs and 33 mins,10-19-15,English
The Untethered Soul,Michael A. Singer,Peter Berkrot,6 hrs and 11 mins,12-12-11,English
Good to Great,Jim Collins,Jim Collins,10 hrs and 1 min,07-13-10,English
Children of Time,Adrian Tchaikovsky,Mel Hudson,16 hrs and 31 mins,05-02-17,English
The Simple Path to Wealth,JL Collins,"JL Collins, Peter Adeney",6 hrs and 38 mins,06-27-17,English
A Little Pinprick,Paige Dearth,Lisa Larsen,15 hrs and 3 mins,06-13-23,English
The Name of the Wind,Patrick Rothfuss,Nick Podehl,27 hrs and 55 mins,05-15-09,English
A Villains Collection,Serena Valentino,Lucy Rayner,12 hrs and 52 mins,10-11-16,English
Wasteland,John G. Doyle,Michael Bauer,13 hrs and 44 mins,06-12-23,English
Understanding Effective Parenting and Teaching Practices Through Qualitative Research Methods,Gregg Krasnodebski,Preeya Gill,1 hr and 31 mins,06-12-23,English
Montego,Brian McClellan,Damian Lynch,3 hrs and 10 mins,05-25-23,English
Prepared,"Mike Glover, Jack Carr - foreword","Mike Glover, Ray Porter",5 hrs and 14 mins,06-06-23,English
Twilight,Stephenie Meyer,Ilyana Kadushin,12 hrs and 51 mins,10-05-05,English
Savage Skies,Nicholas Sansbury Smith,Edoardo Ballerini,3 hrs and 37 mins,07-11-23,English
The Real Deal,K.M. Neuhold,Iggy Toma,2 hrs and 46 mins,07-12-23,English
Make Your Bed,William H. McRaven,William H. McRaven,1 hr and 53 mins,04-04-17,English
Dark Matter,Blake Crouch,Jon Lindstrom,10 hrs and 8 mins,07-26-16,English
Six of Crows,Leigh Bardugo,"Jay Snyder, Brandon Rubin, Fred Berman, Lauren Fortgang, Roger Clark, Elizabeth Evans, Tristan Morris",15 hrs and 4 mins,09-29-15,English
A Gentleman in Moscow,Amor Towles,Nicholas Guy Smith,17 hrs and 52 mins,09-06-16,English
Ender's Game,Orson Scott Card,"Stefan Rudnicki, Harlan Ellison, Gabrielle de Cuir",11 hrs and 57 mins,12-30-01,English
Hiss Me Deadly,Miranda James,Erin Bennett,8 hrs and 6 mins,06-27-23,English
Sovereign Mage,Inadvisably Compelled,Jeremy Frazier,13 hrs and 46 mins,06-30-23,English
Start with Why,Simon Sinek,Simon Sinek,7 hrs and 18 mins,09-05-17,English
The Five Dysfunctions of a Team,Patrick Lencioni,Charles Stransky; introduction by Patrick Lencioni,3 hrs and 42 mins,10-18-02,English
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",Timothy Ferriss,Ray Porter,13 hrs and 1 min,12-28-08,English
Astrophysics for People in a Hurry,Neil deGrasse Tyson,Neil deGrasse Tyson,3 hrs and 41 mins,05-02-17,English
Against the Web,Michael Brooks,Sam Seder,2 hrs and 58 mins,06-13-23,English
The Devil You Know,Freida McFadden,Gabra Zackman,7 hrs and 9 mins,07-11-23,English
Widow Lake,Rita Herron,Tanya Eby,8 hrs and 42 mins,05-31-23,English
Foragers,Danny Kade,"Byron Ormond, Kat Riley",6 hrs and 51 mins,06-10-23,English
Outside the Pack,Lindsey Devin,"Allie Martina, Gideon Frost",10 hrs and 36 mins,05-24-23,English
Holy Spirit: The Bondage Breaker,David Diga Hernandez,William Crockett,8 hrs and 40 mins,06-01-23,English
The Librarian of Crooked Lane,C.J. Archer,Marian Hussey,8 hrs and 9 mins,09-02-22,English
Meet Me at the Lake,Carley Fortune,"A.J. Bridel, Carley Fortune",9 hrs and 56 mins,05-02-23,English
Crimson River,Devney Perry,"Lucy Rivers, Connor Crais",8 hrs and 28 mins,06-01-23,English
On Women,"Susan Sontag, Merve Emre - introduction, David Rieff - editor",Laurel Lefkow,6 hrs and 17 mins,06-06-23,English
Spare,Prince Harry The Duke of Sussex,Prince Harry The Duke of Sussex,15 hrs and 39 mins,01-10-23,English
Vengeance Is Mine,"Richard E. Turley, Barbara Jones Brown",T. Ryder Smith,17 hrs and 29 mins,05-30-23,English
Outlive,"Peter Attia MD, Bill Gifford - contributor",Peter Attia MD,17 hrs and 7 mins,03-28-23,English
Lady Tan's Circle of Women,Lisa See,"Jennifer Lim, Justin Chien",13 hrs and 15 mins,06-06-23,English
The In-Between,Hadley Vlahos R.N.,Hadley Vlahos R.N.,7 hrs and 19 mins,06-13-23,English
Tell Me Everything,Minka Kelly,Minka Kelly,8 hrs and 40 mins,05-02-23,English
Homeworld Lost,"J.N. Chaney, Scott Moon",Neill Thorne,11 hrs and 30 mins,05-06-23,English
American Pastoral,Philip Roth,Malcolm Hillgartner,16 hrs and 6 mins,07-04-23,English
Below Us,Nathan Hystad,Marc Vietor,9 hrs and 22 mins,07-11-23,English
The 9th Man,"Steve Berry, Grant Blackwood",Scott Brick,11 hrs and 53 mins,06-27-23,English
Start Your Notary Public & Loan Signing Agent Business,LSAUSA Education,Andrew Rowe,3 hrs and 32 mins,02-07-23,English
The Wisdom of the Bullfrog,Admiral William H. McRaven,Admiral William H. McRaven,3 hrs and 44 mins,04-04-23,English
Soul Boom,Rainn Wilson,Rainn Wilson,9 hrs and 3 mins,04-25-23,English
You Are the One You've Been Waiting For,Richard Schwartz PhD,"Martin LaGrande, Mike Berlak",6 hrs and 10 mins,05-09-23,English
Scaling People,Claire Hughes Johnson,Claire Hughes Johnson,11 hrs and 32 mins,03-07-23,English
An Unquiet Mind,Kay Redfield Jamison,Kay Redfield Jamison,2 hrs and 46 mins,12-08-09,English
Assata,"Assata Shakur, Angela Davis - foreword",Sirena Riley,12 hrs and 18 mins,07-04-17,English
Let My People Go Surfing,"Yvon Chouinard, Naomi Klein","Christopher Grove, Yvon Chouinard",7 hrs and 59 mins,09-06-16,English
Just Kids,Patti Smith,Patti Smith,9 hrs and 50 mins,07-26-11,English
Feeding the Mouth That Bites You,Kenneth Wilgus PhD,Dr. Kenneth Wilgus,7 hrs and 1 min,12-16-15,English
Island of the Blue Dolphins,Scott O'Dell,Tantoo Cardinal,3 hrs and 55 mins,08-24-00,English
Built to Sell,John Warrillow,Erik Synnestvedt,4 hrs and 24 mins,05-12-11,English
Long Way Down,Jason Reynolds,Jason Reynolds,1 hr and 43 mins,10-24-17,English
The Forever War,Joe Haldeman,George Wilson,9 hrs and 18 mins,03-31-08,English
A Separate Peace,John Knowles,Scott Snively,6 hrs and 8 mins,09-10-08,English
The Other Einstein,Marie Benedict,Mozhan Marnò,8 hrs and 30 mins,10-18-16,English
A Long Walk to Water,Linda Sue Park,"David Baker, Cynthia Bishop",2 hrs and 41 mins,11-07-13,English
Hidden Figures,Margot Lee Shetterly,Robin Miles,10 hrs and 47 mins,09-06-16,English
QBQ! The Question Behind the Question,John G. Miller,John G. Miller,1 hr and 42 mins,10-15-04,English
The Good Earth,Pearl S. Buck,Anthony Heald,10 hrs and 37 mins,11-04-08,English
Emotional Agility,Susan David,Susan David,9 hrs and 21 mins,09-06-16,English
Killers of the Flower Moon,David Grann,"Will Patton, Ann Marie Lee, Danny Campbell",9 hrs and 4 mins,04-18-17,English
"Guns, Germs and Steel",Jared Diamond,Doug Ordunio,16 hrs and 20 mins,01-18-11,English
It Didn't Start with You,Mark Wolynn,Mark Wolynn,8 hrs and 16 mins,04-26-16,English
Chasing Love,Kat T. Masen,"Theo Sinclair, Scarlett Everdeen",13 hrs and 17 mins,05-10-23,English
Apocalypse Comedy,Hunter Mythos,Zeno Robinson,18 hrs and 20 mins,06-13-23,English
Hurricane After Dark,Marie Force,Avery Caris,10 hrs and 14 mins,06-23-23,English
Brute Force,Scott Meyer,Luke Daniels,9 hrs and 50 mins,04-10-23,English
Happy Place,Emily Henry,Julia Whelan,11 hrs and 3 mins,04-25-23,English
Hello Beautiful,Ann Napolitano,Maura Tierney,15 hrs and 6 mins,03-14-23,English
The Wager,David Grann,"Dion Graham, David Grann",8 hrs and 28 mins,04-18-23,English
The Prettiest Girl in the Grave,Kristopher Triana,Megan Meyer,7 hrs and 36 mins,06-29-23,English
Oscar Wars,Michael Schulman,Charlie Thurston,21 hrs,02-21-23,English
The Whole-Brain Child,"Daniel J. Siegel, Tina Payne Bryson","Daniel J. Siegel, Tina Payne Bryson",6 hrs and 14 mins,12-06-22,English
Kingdom of Darkness Box Set,Mark Goodwin,Kevin Pierce,19 hrs and 14 mins,07-12-23,English
Strung,Per Jacobsen,Michael Lucio,5 hrs and 4 mins,04-25-23,English
Divine Invasion,Aaron Renfroe,Christian J. Gilliland,14 hrs and 10 mins,06-20-23,English
Thicker than Water,Megan Collins,"Gail Shalan, Emily Tremaine",10 hrs and 22 mins,07-11-23,English
The Chosen Presents,"Steve Laube, Amanda Jenkins, Dallas Jenkins",Jeff Harding,7 hrs and 6 mins,05-24-23,English
The Magician's Daughter,H. G. Parry,Rose McPhilemy,15 hrs and 4 mins,02-28-23,English
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Alma Cuervo, Julia Whelan, Robin Miles",12 hrs and 10 mins,06-13-17,English
"Boundaries, Updated and Expanded Edition","John Townsend, Henry Cloud",Henry O. Arnold,11 hrs and 18 mins,02-13-18,English
Eragon,Christopher Paolini,Gerard Doyle,16 hrs and 22 mins,10-16-03,English
Unfu*k Yourself,Gary John Bishop,Gary John Bishop,3 hrs and 24 mins,08-01-17,English
Bennett,Maryann Jordan,Matt Hicks,7 hrs and 25 mins,06-16-23,English
The Nightingale,Kristin Hannah,Polly Stone,17 hrs and 19 mins,02-03-15,English
Esme Cahill Fails Spectacularly,Marie Bostwick,Emily Rankin,11 hrs and 36 mins,05-30-23,English
From the World of Percy Jackson: Sun and the Star,"Rick Riordan, Mark Oshiro",A.J. Beckles,13 hrs and 30 mins,05-02-23,English
Palazzo,Danielle Steel,James Babson,7 hrs and 14 mins,06-27-23,English
The Greatness Mindset,Lewis Howes,Lewis Howes,9 hrs and 7 mins,04-04-23,English
FFFHAMS,Eloheem Ali,"Eloheem Ali, Sam C, Madeline Starr, Nay Nay, Witu Lucy Wache",9 hrs and 34 mins,05-23-23,English
Look Up!,Jimmy Evans,Eben Fowler,8 hrs and 51 mins,05-09-23,English
Zero Days,Ruth Ware,Imogen Church,14 hrs and 10 mins,06-20-23,English
All the Light We Cannot See,Anthony Doerr,Zach Appelman,16 hrs and 2 mins,05-06-14,English
The Song of Achilles,Madeline Miller,Frazer Douglas,11 hrs and 15 mins,03-06-12,English
The Rise and Fall of the Third Reich,William L. Shirer,Grover Gardner,57 hrs and 11 mins,07-16-10,English
The Road,Cormac McCarthy,Tom Stechschulte,6 hrs and 39 mins,03-15-07,English
Essentialism,Greg McKeown,Greg McKeown,6 hrs and 14 mins,04-15-14,English
Grit,Angela Duckworth,Angela Duckworth,9 hrs and 22 mins,05-03-16,English
Murder at the Crown and Anchor,C.J. Archer,Marian Hussey,7 hrs and 37 mins,06-16-23,English
Nonbinary,"Genesis P-Orridge, Tim Mohr - contributor",Paul Bee Hampshire,13 hrs and 35 mins,06-27-23,English
Opal,Helen Hardt,"Maya Beechwood, Tor Thom",6 hrs and 25 mins,07-04-23,English
A Little Ray of Sunshine,Kristan Higgins,"Laural Merlington, Xe Sands, Jeannie Sheneman",15 hrs and 31 mins,06-06-23,English
The Russo-Ukrainian War,Serhii Plokhy,Victor Bevine,11 hrs,05-16-23,English
The Turning: System Reboot,Kenny King,Gary Furlong,10 hrs and 47 mins,06-23-23,English
Bad Summer People,Emma Rosenblum,January LaVoy,9 hrs and 48 mins,05-23-23,English
Death at the Chateau,Ian Moore,Ian Moore,7 hrs and 23 mins,05-30-23,English
Why We Sleep,Matthew Walker,Steve West,13 hrs and 52 mins,10-03-17,English
March,Geraldine Brooks,Richard Easton,10 hrs and 19 mins,03-04-05,English
Gateway Catastrophe,Louisa Masters,Nick J. Russo,7 hrs and 16 mins,06-27-23,English
Jackson,Nyssa Kathryn,"Stella Bloom, Tim Paige",7 hrs and 23 mins,05-22-23,English
The Libyan Diversion,Joel C. Rosenberg,George Guidall,11 hrs and 13 mins,05-16-23,English
Gardens of the Moon,Steven Erikson,Ralph Lister,26 hrs and 3 mins,10-02-12,English
Old Man's War,John Scalzi,William Dufris,9 hrs and 55 mins,10-02-07,English
The Farseer: Assassin's Apprentice,Robin Hobb,Paul Boehmer,17 hrs and 18 mins,03-02-10,English
Infinite Jest,David Foster Wallace,Sean Pratt,56 hrs and 12 mins,04-09-12,English
The Goldfinch,Donna Tartt,David Pittu,32 hrs and 24 mins,10-22-13,English
From Potter's Field,Patricia Cornwell,C.J. Critt,12 hrs and 9 mins,07-01-23,English
A People's History of the United States,Howard Zinn,Jeff Zinn,34 hrs and 8 mins,12-14-09,English
Fahrenheit 451,Ray Bradbury,Tim Robbins,5 hrs and 1 min,10-21-14,English
Finding You,Lena Hendrix,"Stephen Dexter, Charlotte North",7 hrs and 43 mins,01-20-23,English
Murder in Manhattan,Verity Bright,Karen Cass,8 hrs and 49 mins,06-29-23,English
Wellness to Wonderful,"Alona Pulde MD, Matthew Lederman MD","Alona Pulde MD, Matthew Lederman MD, David Rice",9 hrs and 11 mins,05-26-23,English
Fire Prayers,John Ramirez,Ramon de Ocampo,6 hrs and 44 mins,03-07-23,English
Killing Moon,"Jo Nesbo, Seán Kinsella - translator",John Lee,15 hrs and 57 mins,05-30-23,English
"Security Analysis, Seventh Edition","Benjamin Graham, David Dodd, Seth Klarman - editor",Scott R. Pollak,34 hrs and 53 mins,06-27-23,English
The Obesity Code,Dr. Jason Fung,Brian Nishii,10 hrs and 9 mins,12-20-16,English
Before We Were Yours,Lisa Wingate,"Emily Rankin, Catherine Taber",14 hrs and 29 mins,06-06-17,English
The Daily Stoic,"Ryan Holiday, Stephen Hanselman",Brian Holsopple,10 hrs and 6 mins,10-18-16,English
Laike,Grey Huffington,"Morae Brehon, Leon Nixon",10 hrs and 57 mins,06-20-23,English
The Sunny Side,Lily Morton,Joel Leslie,11 hrs and 37 mins,06-11-23,English
Tales from the Gas Station: Volume One,Jack Townsend,MrCreepyPasta,8 hrs and 31 mins,06-14-23,English
What Lurks Between the Fates,Harper L. Woods,"Liam DiCosimo, Ava Lucas",14 hrs and 8 mins,04-25-23,English
Don't Let Her Stay,Nicola Sanders,Penelope Rawlins,8 hrs and 24 mins,03-07-23,English
The Quiet Tenant,Clémence Michallon,"Gilli Messer, Elena Rey, Valerie Rose Lohman, Amber Battaglia, Reba Buhr, Clémence Michallon, Jess Nahikian, Aure Nash, Milly Sanders, Sara Sheckells, Yu-Li Alice Shen",10 hrs and 44 mins,06-20-23,English
Final Offer,Lauren Asher,"Alex Kydd, Stacy Gonzalez",15 hrs and 58 mins,05-23-23,English
Brutal Obsession,S. Massery,"Teddy Hamilton, Heather Firth",14 hrs and 32 mins,11-30-22,English
Rogue Justice,Stacey Abrams,Adenrele Ojo,12 hrs and 32 mins,05-23-23,English
Star Bringer,"Tracy Wolff, Nina Croft - contributor","Mia Barron, Liv Anderson, Samara Naeymi, Ruffin Prentiss",19 hrs and 29 mins,07-11-23,English
This Life and All the Rest,Brit Benson,"JF Harding, Lidia Dornet",9 hrs and 4 mins,06-23-23,English
Passive Prospecting,"Levi Lascsak, Travis Plumb",Levi Lascsak,3 hrs and 44 mins,05-15-23,English
The Paris Daughter,Kristin Harmel,"Madeleine Maby, Kristin Harmel",12 hrs and 7 mins,06-06-23,English
Legacy of the M'Zee,Chris Vines,Kristian Eros,13 hrs and 21 mins,06-12-23,English
The Paris Agent,Kelly Rimmer,"Elizabeth Knowelden, Fiona Hardingham, Emma Fenney",12 hrs and 15 mins,07-11-23,English
The Modern Girl's Guide to Magic,Linsey Hall,Laurel Schroeder,8 hrs and 36 mins,05-31-23,English
Messalina,Honor Cargill-Martin,Antonia Beamish,12 hrs and 55 mins,05-11-23,English
Deadly Fate,Angela Marsons,Jan Cramer,8 hrs and 14 mins,05-25-23,English
Highest Bidder,Sara Cate,"Lessa Lamb, Stephen Borne",10 hrs and 2 mins,04-03-23,English
The Temporary Wife: Luca and Valentina's Story,Catharina Maura,"Joe Arden, Stephanie Nemeth-Parker",11 hrs and 33 mins,03-29-23,English
A Short History of Nearly Everything,Bill Bryson,Richard Matthews,18 hrs and 13 mins,05-04-03,English
The Intelligent Investor Rev Ed.,Benjamin Graham,Luke Daniels,17 hrs and 48 mins,07-07-15,English
Romancing Mister Bridgerton,Julia Quinn,Rosalyn Landor,13 hrs and 17 mins,04-06-17,English
You Shouldn’t Have Come Here,Jeneva Rose,"Andrew Eiden, Andi Arndt",8 hrs and 1 min,04-25-23,English
The Power to Change,Craig Groeschel,Craig Groeschel,5 hrs and 42 mins,02-14-23,English
Them,Whitley Strieber,Whitley Strieber,10 hrs and 17 mins,04-19-23,English
Occult Feminism,Rachel Wilson,R.M. McLeod,5 hrs and 32 mins,05-22-23,English
The Love Stories of the Bible Speak,Shannon Bream,Shannon Bream,7 hrs and 26 mins,03-28-23,English
Voidwalker,Actus,Peter Berkrot,12 hrs and 20 mins,06-20-23,English
The 22 Laws of Category Design,"Category Pirates, Christopher Lochhead, Eddie Yoon, Katrina Kirsch, Nicolas Cole",Jason DeFillippo,5 hrs and 59 mins,06-30-23,English
Central Park West,James Comey,Cassandra Campbell,10 hrs and 35 mins,05-30-23,English
Satan's Affair,H. D. Carlton,"Christian Black, Marlaina Garrett",5 hrs and 47 mins,02-24-23,English
Doomsday Match,Jeff Wheeler,Kate Rudd,9 hrs and 23 mins,07-01-23,English
Flawless,Elsie Silver,"Sebastian York, Emma Wilder",9 hrs and 44 mins,12-14-22,English
Meat Eater,Steven Rinella,Steven Rinella,7 hrs and 1 min,04-25-23,English
Fleur de Lis,Sarah M. Eden,Luone Ingram,10 hrs and 44 mins,06-20-23,English
Scaredy Cat,Sofie Ryan,Rachel L. Jacobs,7 hrs and 23 mins,07-04-23,English
Trial of the Sun Queen,Nisha J Tuli,"Corvin King, Soneela Nankani",11 hrs and 53 mins,06-20-23,English
Biblical Critical Theory,"Christopher Watkin, Timothy Keller",Christopher Ashman,26 hrs and 11 mins,06-27-23,English
Defending the Constitution Behind Enemy Lines,Robert A. Green Jr.,John Pruden,7 hrs and 18 mins,07-04-23,English
House of Pounding Hearts,Olivia Wildenstein,"Olivia King, Tim Campbell",13 hrs and 52 mins,04-19-23,English
Romantic Comedy (Reese's Book Club),Curtis Sittenfeld,Kristen Sieh,9 hrs and 5 mins,04-04-23,English
The Build Up,Tati Richardson,"Vance Goodwin, Anna Lynn Wright",9 hrs and 14 mins,03-28-23,English
The Undertow,Jeff Sharlet,Jeff Sharlet,11 hrs and 45 mins,05-02-23,English
"Building Thinking Classrooms in Mathematics, Grades K-12",Peter Liljedahl,Marlin May,11 hrs and 24 mins,03-30-23,English
An American Beauty,Shana Abe,Gail Shalan,11 hrs and 34 mins,04-25-23,English
Emotional Sobriety,AA Grapevine,AA Grapevine,2 hrs and 18 mins,06-08-23,English
The Indictment,"Frank Gaffney, Dede Laugesen",Jim Seybert,5 hrs and 49 mins,06-30-23,English
The Mists of Avalon,Marion Zimmer Bradley,Davina Porter,50 hrs and 53 mins,06-19-12,English
1-2-3 Magic,Thomas W. Phelan PhD,Paul Costanzo,7 hrs and 1 min,05-03-16,English
The Ultimate Sales Machine,Chet Holmes,"Amanda Holmes, George Newbern",11 hrs and 28 mins,11-21-08,English
Setting the Table,Danny Meyer,Danny Meyer,5 hrs and 33 mins,09-28-06,English
Predictably Irrational,Dan Ariely,Simon Jones,7 hrs and 22 mins,02-19-08,English
The Shadow of the Wind,Carlos Ruiz Zafón,Jonathan Davis,18 hrs and 5 mins,05-06-05,English
Pussy,Regena Thomashauer,Regena Thomashauer,9 hrs and 32 mins,02-28-17,English
Stuff Matters,Mark Miodownik,Michael Page,6 hrs and 34 mins,07-29-14,English
A Tree Grows in Brooklyn,Betty Smith,Kate Burton,14 hrs and 55 mins,12-26-04,English
Made to Stick,"Chip Heath, Dan Heath",Charles Kahlenberg,8 hrs and 37 mins,12-18-06,English
Fierce Conversations,Susan Craig Scott M.D.,Susan Craig Scott,13 hrs and 33 mins,04-11-17,English
Hillbilly Elegy,J. D. Vance,J. D. Vance,6 hrs and 49 mins,06-28-16,English
Refugee,Alan Gratz,"Michael Goldstrom, Kyla Garcia, Assaf Cohen",7 hrs and 37 mins,08-01-17,English
